6;65;0,05;0;1,97
6;65;0,05;0,1;1,9
6;65;0,05;0,2;1,83
6;65;0,05;0,3;1,77
6;65;0,05;0,4;1,72
6;65;0,05;0,5;1,68
6;65;0,05;0,6;1,64
6;65;0,05;0,7;1,6
6;65;0,1;0;2,47
6;65;0,1;0,1;2,35
6;65;0,1;0,2;2,25
6;65;0,1;0,3;2,16
6;65;0,1;0,4;2,08
6;65;0,1;0,5;2,01
6;65;0,1;0,6;1,95
6;65;0,1;0,7;1,89
6;65;0,15;0;2,74
6;65;0,15;0,1;2,6
6;65;0,15;0,2;2,48
6;65;0,15;0,3;2,37
6;65;0,15;0,4;2,28
6;65;0,15;0,5;2,2
6;65;0,15;0,6;2,12
6;65;0,15;0,7;2,06
6;65;0,2;0;2,89
6;65;0,2;0,1;2,74
6;65;0,2;0,2;2,61
6;65;0,2;0,3;2,49
6;65;0,2;0,4;2,39
6;65;0,2;0,5;2,3
6;65;0,2;0,6;2,22
6;65;0,2;0,7;2,15
6;65;0,25;0;2,97
6;65;0,25;0,1;2,81
6;65;0,25;0,2;2,68
6;65;0,25;0,3;2,56
6;65;0,25;0,4;2,46
6;65;0,25;0,5;2,36
6;65;0,25;0,6;2,28
6;65;0,25;0,7;2,2
6;65;0,3;0;2,99
6;65;0,3;0,1;2,83
6;65;0,3;0,2;2,7
6;65;0,3;0,3;2,58
6;65;0,3;0,4;2,48
6;65;0,3;0,5;2,38
6;65;0,3;0,6;2,3
6;65;0,3;0,7;2,22
6;67,5;0,05;0;1,96
6;67,5;0,05;0,1;1,89
6;67,5;0,05;0,2;1,83
6;67,5;0,05;0,3;1,78
6;67,5;0,05;0,4;1,73
6;67,5;0,05;0,5;1,69
6;67,5;0,05;0,6;1,65
6;67,5;0,05;0,7;1,62
6;67,5;0,1;0;2,45
6;67,5;0,1;0,1;2,35
6;67,5;0,1;0,2;2,25
6;67,5;0,1;0,3;2,17
6;67,5;0,1;0,4;2,09
6;67,5;0,1;0,5;2,03
6;67,5;0,1;0,6;1,97
6;67,5;0,1;0,7;1,92
6;67,5;0,15;0;2,72
6;67,5;0,15;0,1;2,59
6;67,5;0,15;0,2;2,48
6;67,5;0,15;0,3;2,38
6;67,5;0,15;0,4;2,29
6;67,5;0,15;0,5;2,21
6;67,5;0,15;0,6;2,14
6;67,5;0,15;0,7;2,08
6;67,5;0,2;0;2,86
6;67,5;0,2;0,1;2,72
6;67,5;0,2;0,2;2,6
6;67,5;0,2;0,3;2,49
6;67,5;0,2;0,4;2,4
6;67,5;0,2;0,5;2,31
6;67,5;0,2;0,6;2,24
6;67,5;0,2;0,7;2,17
6;67,5;0,25;0;2,93
6;67,5;0,25;0,1;2,79
6;67,5;0,25;0,2;2,67
6;67,5;0,25;0,3;2,56
6;67,5;0,25;0,4;2,46
6;67,5;0,25;0,5;2,37
6;67,5;0,25;0,6;2,29
6;67,5;0,25;0,7;2,22
6;67,5;0,3;0;2,95
6;67,5;0,3;0,1;2,81
6;67,5;0,3;0,2;2,68
6;67,5;0,3;0,3;2,57
6;67,5;0,3;0,4;2,47
6;67,5;0,3;0,5;2,39
6;67,5;0,3;0,6;2,3
6;67,5;0,3;0,7;2,23
6;70;0,05;0;1,95
6;70;0,05;0,1;1,89
6;70;0,05;0,2;1,84
6;70;0,05;0,3;1,79
6;70;0,05;0,4;1,74
6;70;0,05;0,5;1,7
6;70;0,05;0,6;1,67
6;70;0,05;0,7;1,63
6;70;0,1;0;2,44
6;70;0,1;0,1;2,34
6;70;0,1;0,2;2,25
6;70;0,1;0,3;2,18
6;70;0,1;0,4;2,11
6;70;0,1;0,5;2,05
6;70;0,1;0,6;1,99
6;70;0,1;0,7;1,94
6;70;0,15;0;2,7
6;70;0,15;0,1;2,58
6;70;0,15;0,2;2,48
6;70;0,15;0,3;2,39
6;70;0,15;0,4;2,3
6;70;0,15;0,5;2,23
6;70;0,15;0,6;2,16
6;70;0,15;0,7;2,1
6;70;0,2;0;2,83
6;70;0,2;0,1;2,71
6;70;0,2;0,2;2,6
6;70;0,2;0,3;2,5
6;70;0,2;0,4;2,41
6;70;0,2;0,5;2,33
6;70;0,2;0,6;2,26
6;70;0,2;0,7;2,19
6;70;0,25;0;2,9
6;70;0,25;0,1;2,77
6;70;0,25;0,2;2,66
6;70;0,25;0,3;2,56
6;70;0,25;0,4;2,46
6;70;0,25;0,5;2,38
6;70;0,25;0,6;2,3
6;70;0,25;0,7;2,23
6;70;0,3;0;2,92
6;70;0,3;0,1;2,79
6;70;0,3;0,2;2,68
6;70;0,3;0,3;2,58
6;70;0,3;0,4;2,48
6;70;0,3;0,5;2,4
6;70;0,3;0,6;2,32
6;70;0,3;0,7;2,25
6;72,5;0,05;0;1,95
6;72,5;0,05;0,1;1,89
